NCM;InicioVigencia;FimVigencia
03051000;01/01/2016;31/03/2022
04031000;01/01/2016;31/03/2022
04100000;01/01/2016;31/03/2022
08029000;01/01/2016;31/03/2022
15091000;01/01/2016;31/03/2022
15100000;01/01/2016;31/03/2022
20029010;01/01/2016;31/03/2022
20029090;01/01/2016;31/03/2022
25183000;01/01/2016;31/03/2022
28444010;01/01/2016;31/03/2022
28444020;01/01/2016;31/03/2022
28444030;01/01/2016;31/03/2022
28444090;01/01/2016;31/03/2022
29033100;01/01/2016;31/03/2022
29033911;01/01/2016;31/03/2022
29033912;01/01/2016;31/03/2022
29033919;01/01/2016;31/03/2022
29033921;01/01/2016;31/03/2022
29033929;01/01/2016;31/03/2022
29033931;01/01/2016;31/03/2022
29033932;01/01/2016;31/03/2022
29033939;01/01/2016;31/03/2022
29096020;01/01/2016;31/03/2022
29313100;01/01/2017;31/03/2022
29313200;01/01/2017;31/03/2022
29313300;01/01/2017;31/03/2022
29313400;01/01/2017;31/03/2022
29313500;01/01/2017;31/03/2022
29313600;01/01/2017;31/03/2022
29313700;01/01/2017;31/03/2022
29313800;01/01/2017;31/03/2022
29313911;01/01/2017;31/03/2022
29313912;01/01/2017;31/03/2022
29313913;01/01/2017;31/03/2022
29313914;01/01/2017;31/03/2022
29313915;01/01/2017;31/03/2022
29313916;01/01/2017;31/03/2022
29313917;01/01/2017;31/03/2022
29313918;01/01/2017;31/03/2022
29313991;01/01/2017;31/03/2022
29313992;01/01/2017;31/03/2022
29313993;01/01/2017;31/03/2022
29313994;01/01/2017;31/03/2022
29313995;01/01/2017;31/03/2022
29313996;01/01/2017;31/03/2022
29313997;01/01/2017;31/03/2022
29313999;01/01/2017;31/03/2022
29329914;01/01/2016;31/03/2022
29333330;01/01/2016;31/03/2022
29333936;01/01/2016;31/03/2022
29333947;01/01/2016;31/03/2022
29359097;01/01/2017;31/03/2022
29397111;01/01/2017;31/03/2022
29397112;01/01/2017;31/03/2022
29397119;01/01/2017;31/03/2022
29397120;01/01/2017;31/03/2022
29397130;01/01/2017;31/03/2022
29397140;01/01/2017;31/03/2022
30021100;01/01/2017;31/03/2022
30021410;01/01/2017;31/03/2022
30021490;01/01/2017;31/03/2022
30021900;01/01/2017;31/03/2022
30022011;01/01/2016;31/03/2022
30022012;01/01/2016;31/03/2022
30022013;01/01/2016;31/03/2022
30022014;01/01/2016;31/03/2022
30022015;01/01/2016;31/03/2022
30022016;01/01/2016;31/03/2022
30022017;01/01/2016;31/03/2022
30022018;01/01/2016;31/03/2022
30022019;01/01/2016;31/03/2022
30022021;01/01/2016;31/03/2022
30022022;01/01/2016;31/03/2022
30022023;01/01/2016;31/03/2022
30022024;01/01/2016;31/03/2022
30022025;01/01/2016;31/03/2022
30022026;01/01/2016;31/03/2022
30022027;01/01/2016;31/03/2022
30022028;01/01/2016;31/03/2022
30022029;01/01/2016;31/03/2022
30023010;01/01/2016;31/03/2022
30023020;01/01/2016;31/03/2022
30023030;01/01/2016;31/03/2022
30023040;01/01/2016;31/03/2022
30023050;01/01/2016;31/03/2022
30023060;01/01/2016;31/03/2022
30023070;01/01/2016;31/03/2022
30023080;01/01/2016;31/03/2022
30023090;01/01/2016;31/03/2022
30029010;01/01/2016;31/03/2022
30029020;01/01/2016;31/03/2022
30029030;01/01/2016;31/03/2022
30029091;01/01/2016;31/03/2022
30029092;01/01/2016;31/03/2022
30029093;01/01/2016;31/03/2022
30029094;01/01/2016;31/03/2022
30029099;01/01/2016;31/03/2022
30062000;01/01/2016;31/03/2022
32041911;01/01/2016;31/03/2022
32041912;01/01/2016;31/03/2022
32041913;01/01/2016;31/03/2022
32041919;01/01/2016;31/03/2022
34021110;01/01/2016;31/03/2022
34021120;01/01/2016;31/03/2022
34021130;01/01/2016;31/03/2022
34021140;01/01/2016;31/03/2022
34021190;01/01/2016;31/03/2022
34021210;01/01/2016;31/03/2022
34021290;01/01/2016;31/03/2022
34021300;01/01/2016;31/03/2022
34021900;01/01/2016;31/03/2022
34022000;01/01/2016;31/03/2022
36030010;01/01/2018;31/03/2022
36030020;01/01/2018;31/03/2022
36030030;01/01/2018;31/03/2022
36030040;01/01/2018;31/03/2022
36030050;01/01/2018;31/03/2022
36030060;01/01/2018;31/03/2022
38089198;01/01/2016;31/03/2022
38220010;01/01/2016;31/03/2022
